source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10542,1.10542,27.0,1.0374376303696025,0.10849557891511286,1.16446392436227,0.23076923076923078,0.4921096945965936,-1.903733562222223,0.14901123663503038,7.0,0.2692307692307692,5.351929363750375
human,oaf_10543,1.10543,22.0,0.9946790382886752,0.11498258977654331,1.0989277136127116,0.21428571428571427,0.5029233783044704,-1.7765631710469876,0.16921872483713737,3.0,0.14285714285714285,2.65845445535809
human,oaf_10543,3.10543,18.0,0.9978773257173861,0.11995436895752218,1.1265037178929285,0.2222222222222222,0.5021698073731016,-1.4441220642695811,0.23595313733950846,2.0,0.11764705882352941,2.703674528644262
human,oaf_10543,4.10543,19.0,1.0186683676431887,0.13159649948946708,1.1349795206247804,0.25,0.49739197778007166,-1.7157500561025258,0.17982878843587294,3.0,0.16666666666666666,3.4423695103227194
human,oaf_10543,5.10543,18.0,0.9491331024361574,0.1079188238240812,1.0513670959484278,0.25,0.5144821058435065,-1.4505282633119352,0.2344464059406068,6.0,0.35294117647058826,6.703674528644262
human,oaf_10543,6.10543,18.0,0.9858226615079292,0.1239980821342091,1.099856006770566,0.25,0.5053099120835919,-1.7324874281863705,0.17684397573287386,4.0,0.23529411764705882,4.703674528644262
human,oaf_10543,7.10543,20.0,1.0493035253328862,0.09997542039608164,1.1458851480760353,0.23529411764705882,0.48911281870978673,-1.3433821277022147,0.2609615690025045,6.0,0.3157894736842105,6.181064492001176
human,oaf_10543,8.10543,8.0,1.0440132256735153,0.12814243496660993,1.1576799429407578,0.2857142857142857,0.4909497117317632,-1.58410368926848,0.20513157237252516,0.0,0.0,3.3167247118596923
human,oaf_10567,1.10567,24.0,1.0502970766566202,0.14545718458728382,1.2107271164268252,0.2222222222222222,0.49008942606021233,-1.4790780040543279,0.2278476661940549,6.0,0.2608695652173913,5.1358444187150045
human,oaf_10572,1.10572,10.0,0.9893339276875712,0.07818381939009533,1.069993566065715,0.2222222222222222,0.5033952059938178,-1.3668847294609232,0.2548998058017418,2.0,0.2222222222222222,4.794114675216607
human,oaf_10573,1.10573,12.0,1.0501254435691474,0.11385182535610011,1.1430572232637473,0.2857142857142857,0.48915988526601767,-1.9981859733721852,0.13558100785220098,1.0,0.09090909090909091,3.2715046385735205
